ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://ti.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/ti.acronis.com_vhost.json

host: status.%s           | status: 200 | length: 101 | words: 8 | lines: 7 |
host: status              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: syslog              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: svn                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: test                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: test1               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: uat                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: uat.%s              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: test2               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: testing             | status: 200 | length: 101 | words: 8 | lines: 7 |
host: v1                  | status: 200 | length: 101 | words: 8 | lines: 7 |
host: upload              | status: 200 | length: 101 | words: 8 | lines: 7 |
host: v2                  | status: 200 | length: 101 | words: 8 | lines: 7 |
host: v1.%s               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: v3.%s               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: v3                  | status: 200 | length: 101 | words: 8 | lines: 7 |
host: vm                  | status: 200 | length: 101 | words: 8 | lines: 7 |
host: v2.%s               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: vnc                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: voip                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: web                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: vpn                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: web2test            | status: 200 | length: 101 | words: 8 | lines: 7 |
host: whois               | status: 200 | length: 101 | words: 8 | lines: 7 |
host: www                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: xml                 | status: 200 | length: 101 | words: 8 | lines: 7 |
host: www2                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: wiki                | status: 200 | length: 101 | words: 8 | lines: 7 |
host: www.%s              | status: 200 | length: 101 | words: 8 | lines: 7 |
