ffuf -w /root/ProjectA/Tools/vhosts.txt -t 10 -u https://us4-cloud.acronis.com -H Host: FUZZ -of json -o /root/ProjectA/output//acronis/ffuf/us4-cloud.acronis.com_vhost.json

host: test                | status: 200 | length: 570 | words: 21 | lines: 1 |
host: test1               | status: 200 | length: 570 | words: 21 | lines: 1 |
host: test2               | status: 200 | length: 570 | words: 21 | lines: 1 |
host: testing             | status: 200 | length: 570 | words: 21 | lines: 1 |
host: uat                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: upload              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: uat.%s              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: v1.%s               | status: 200 | length: 570 | words: 21 | lines: 1 |
host: v1                  | status: 200 | length: 570 | words: 21 | lines: 1 |
host: v2                  | status: 200 | length: 570 | words: 21 | lines: 1 |
host: v2.%s               | status: 200 | length: 570 | words: 21 | lines: 1 |
host: v3                  | status: 200 | length: 570 | words: 21 | lines: 1 |
host: v3.%s               | status: 200 | length: 570 | words: 21 | lines: 1 |
host: vm                  | status: 200 | length: 570 | words: 21 | lines: 1 |
host: vnc                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: voip                | status: 200 | length: 570 | words: 21 | lines: 1 |
host: vpn                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: web                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: web2test            | status: 200 | length: 570 | words: 21 | lines: 1 |
host: whois               | status: 200 | length: 570 | words: 21 | lines: 1 |
host: wiki                | status: 200 | length: 570 | words: 21 | lines: 1 |
host: www                 | status: 200 | length: 570 | words: 21 | lines: 1 |
host: www.%s              | status: 200 | length: 570 | words: 21 | lines: 1 |
host: www2                | status: 200 | length: 570 | words: 21 | lines: 1 |
host: xml                 | status: 200 | length: 570 | words: 21 | lines: 1 |
